,F1,F2,Focus,When_SLR,Risk_Agree,Action_Agree,Fed,State,RegGov,LocalGov,WaterSD,EnviroSD,Enviro,Trade,Ed,Multistake,Multijuris,Political,CBO,NGO,Tasks,InfoTypes,STAware,LTAware,STConcern,LTConcern,HumRes,FinRes,CollabExp,PublicOppose,PoliticalLead,SLRUncertain,SciInfo,OrgLead,OverallPlan,Permits,PubSupport,CBORelations,No.Barriers
InfoTypes,-0.035985798,-0.133957527,0.415435038,-0.188584716,0.08781936,-0.007152532,-0.032315024,0.078247964,-0.005453996,-0.068107772,-0.060569605,0.014179529,0.001449611,0.056863818,0.045539783,0.049781485,-0.041650173,-0.016036234,-0.061268298,0.044972283,0.220177092,1,0.350362002,0.325870475,0.131163011,0.166974133,0.01829533,0.092801956,-0.025797415,0.099340524,0.084117734,-0.001317582,0.005817112,-0.027438771,0.072725839,0.1704342,-0.010358387,0.035088472,0.224709903
STAware,-0.001765869,-0.105674187,0.440085808,-0.147944199,0.149202087,0.030170173,0.036203654,0.093818441,0.020901441,-0.075505935,-0.021566027,-0.004820775,0.018632044,0.083037317,0.063223371,-0.019765924,0.008274142,-0.040669512,-0.089896829,-0.001514049,0.171817959,0.350362002,1,0.724596956,0.163799786,0.229343031,0.019948962,0.12153958,-0.045370679,0.044730574,0.127789703,-0.066342665,0.009781604,-0.02546452,0.013853754,0.164648871,0.031759304,-0.000790736,0.164382978
LTAware,-0.0515894,-0.086735947,0.366241528,-0.111108709,0.179415872,-0.000329654,0.035979744,0.093515262,0.009166931,-0.074237295,-0.053688679,-0.045243119,0.004717729,0.065003656,0.117657374,-0.015210137,0.009867319,-0.038296239,-0.131701237,-0.00507647,0.148309789,0.325870475,0.724596956,1,0.067992445,0.252636848,0.007644111,0.072050159,-0.052860994,0.070791239,0.100462195,-0.126810735,0.010294865,0.051169844,0.002028394,0.120383981,0.001052111,0.038468919,0.130263465
STConcern,-0.114987807,-0.085122856,0.115079975,-0.385497266,0.075048736,0.064789725,-0.008647032,0.061936022,-0.05978692,-0.057296577,-0.110596559,0.009928623,0.157322036,0.034410699,-0.059205601,0.044838948,-0.042241465,-0.042241465,0.070243504,0.017142383,0.019032262,0.131163011,0.163799786,0.067992445,1,0.391485118,-0.051029669,0.009476551,-0.016434406,0.049498737,0.062568631,-0.103063729,-0.067143334,-0.003736419,0.04905599,-0.02730018,0.114396648,0.008733146,0.020723085
LTConcern,-0.106939002,-0.046232318,0.177822372,-0.198734806,0.096441158,-0.077027322,0.044471946,0.045552648,-0.053842599,-0.130740796,-0.145192068,-0.034399816,0.101206308,0.062785178,0.018591172,-0.05298633,0.021430686,-0.107522925,-0.021802499,0.121359707,0.089834104,0.166974133,0.229343031,0.252636848,0.391485118,1,-0.028321299,0.022055539,-0.019198323,0.047743271,0.143306224,-0.077408842,-0.084516823,-0.060345124,0.093453387,-0.066375482,0.041242802,0.047375186,0.07365054
HumRes,-0.064394464,0.046640131,0.079686015,-0.005928539,-0.044379833,0.00785703,0.052552098,0.133313357,-0.026617074,0.148632313,-0.066821106,0.038020332,0.006236007,-0.046279413,-0.09361935,-0.003015382,-0.017691364,-0.017691364,-0.020261178,-0.040184538,0.082714358,0.01829533,0.019948962,0.007644111,-0.051029669,-0.028321299,1,0.074325956,-0.030628459,-0.053096281,-0.133152691,-0.063907451,0.085255292,0.116579524,-0.041473137,-0.062289434,-0.105464952,0.061679992,0.255228895
FinRes,-0.007797325,0.000225871,0.10539444,-0.05019464,0.095717431,0.008831365,0.036241333,0.006928111,-0.012461109,0.108678012,-0.055547868,-0.067078625,-0.026284307,-0.05447533,-0.017423044,-0.015280888,-0.021074728,-0.021074728,0.026078394,0.000156375,0.08846411,0.092801956,0.12153958,0.072050159,0.009476551,0.022055539,0.074325956,1,-0.052552946,-0.017945063,-0.09406788,-0.105706166,-0.051404011,-0.076096002,-0.139612987,-0.066309392,-0.124240268,-0.077328851,0.178676337
CollabExp,0.011565158,0.020422078,-0.016804284,0.07846887,0.061241193,0.079625585,-0.058454626,0.030077646,-0.052979593,-0.044395154,-0.0009001,-0.033848446,-0.066425232,0.019639769,0.037070605,0.033490387,-0.010634487,-0.010634487,-0.032088144,-0.029080019,-0.006925596,-0.025797415,-0.045370679,-0.052860994,-0.016434406,-0.019198323,-0.030628459,-0.052552946,1,-0.011032876,-0.030176616,-0.073621389,-0.059498408,0.028748694,-0.046907945,-0.011427529,-0.005013667,0.102729202,0.153168689
PublicOppose,0.030261443,-0.090090237,0.067454441,-0.078074007,-0.060253539,-0.075207605,-0.056578298,-0.084092864,0.073001365,-0.023010175,-0.038877641,-0.032761948,0.011511932,0.023858963,0.028004983,0.036022835,-0.010293132,-0.010293132,0.019123768,0.060050161,-0.015535105,0.099340524,0.044730574,0.070791239,0.049498737,0.047743271,-0.053096281,-0.017945063,-0.011032876,1,0.044647312,-0.06848513,-0.057588576,-0.075485136,-0.057662266,0.042759247,0.090670666,0.041512857,0.196604907
PoliticalLead,-0.016554158,-0.033827703,0.033194277,-0.080818206,-0.125107756,-0.150219273,-0.033880029,-0.044639058,0.0034711,-0.049251908,-0.033151904,-0.068143007,0.090184276,0.024258802,0.026940714,-0.016401638,0.067014394,0.067014394,0.024336189,0.103167452,0.091082302,0.084117734,0.127789703,0.100462195,0.062568631,0.143306224,-0.133152691,-0.09406788,-0.030176616,0.044647312,1,-0.054834832,-0.053818758,-0.01434411,0.158521869,0.012443167,0.146997614,-0.081577532,0.364733516
